,,,,,,,,,,,,,delivery,,,,eval points,,,,,
5b00d91b-ab2e-4f55-8cf9-8ea77656c9a3,,,,,can explain what primary keys are and why they are used,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
f68c3ec1-8752-4038-aab6-2de99486ed2d,,,,,can explain what foreign keys are and why they are used,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
31291be5-2f0c-43ed-a7c3-64644db4eb96,,,,,,SQL,,,,,,,0,0,0,,0,0,,0,0,
77f0fe58-102c-46de-bf41-f850ff48290a,,,,,,TODO,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
b83e6e8e-f7ed-4647-9eba-26c324285a7d,,,,,,,create / alter / drop,,,,,,0,0,0,,0,0,,0,0,
46f14f9c-7dd3-4933-85cf-a5a4279fe35b,,,,,,,CREATE tables,,,,,,0,0,0,,0,0,,0,0,
973939f9-b5f9-4cb5-8d99-395a0a0f403c,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
1cb95b2c-bc8e-470d-8e68-feaeab59176a,,,,,,,index,,,,,,0,0,0,,0,0,,0,0,
cdc031ae-6580-4e00-9bf4-cdbe75325186,,,,,,,references,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
152e6196-596e-42d5-8cb4-ed96ecf18548,,,,,,,data types,,,,,,0,0,0,,0,0,,0,0,
c71116aa-68e0-4d5b-9342-1d1e6d0deacc,,,,,,,TODO (move elsewhere?),,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
e6e7bc48-fe27-4b7e-96e0-03606a58fadd,,,,,,,select,,,,,,0,0,0,,0,0,,0,0,
8759a1cd-3d42-4bee-9d88-ba440d6471b2,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
abb2d005-1959-4991-82e8-ffb9f9166216,,,,,,,nested SELECT,,,,,,0,0,0,,0,0,,0,0,
5d51b187-5a7b-485d-ac0f-fe16e7ccf3d1,,,,,,,LIMIT,,,,,,0,0,0,,0,0,,0,0,
d1074cf4-340f-4865-9afe-7d48ee538dc2,,,,,,,WHERE,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
3a46a6ef-232a-48c3-b033-55473046f826,,,,,,,insert,,,,,,0,0,0,,0,0,,0,0,
783eb00a-df61-43ca-9298-3d4b8103433d,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
2962ced4-caae-4fe6-848c-329745523b3e,,,,,,,update,,,,,,0,0,0,,0,0,,0,0,
e7b5d7ea-4c55-49ee-a15a-d321accf1186,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
df883975-3842-4a05-991a-a95714cf4b07,,,,,,,delete,,,,,,0,0,0,,0,0,,0,0,
3f3c0b88-57b5-4b65-be04-3ee25233a235,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
42c8184a-c348-4aec-823a-5772ac675df1,,,,,,,joins,,,,,,0,0,0,,0,0,,0,0,
23bc694b-b39c-4fd1-a2ea-6f9db4e531af,,,,,,,"can explain differences and when to use different JOINs: outer, inner, left, right, full",,,knowledge,core,,1,1,0,,1,0,,0,1,
1c77ee3c-41d9-4cdc-b959-af0bac7f64c8,,,,,,,can explain how JOINS work (cross-product and filter),,,knowledge,extra,,0,0,0,,0,0,,0,0,
687b2656-8aa1-4da7-b064-be9ae4b4cdb2,,,,,,,can use JOINs,,,skill,core,,0,0,1,,0,1,,1,0,
1bada43c-7cc2-4c90-9f34-e6be33f272e0,,,,,,,can use multiple JOINs in a query,,,skill,ideal,,0,0,0,,0,1,,1,0,
456827d3-1e9b-4143-a819-4539d0ffd13b,,,,,,,self join,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
1d4fbd7a-c82e-49f6-80b8-9b0532b82df2,,,,,,,aggregate functions,,,,,,0,0,0,,0,0,,0,0,
d6e812c5-4873-4182-a62b-89b2d4d63c44,,,,,,,"SUM, COUNT, MIN, MAX",,,skill,core,,0,0,1,,0,1,,1,0,
629d2779-45c0-47f0-bd00-5b6954171cc8,,,,,,,GROUP BY,,,skill,core,,0,0,1,,0,1,,1,0,
af8ef132-4994-4172-a323-83d378af388e,,,,,,,HAVING,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
f79dd565-5ad8-44ca-8096-c79a7c5d1665,,,,,,,scalar functions,,,,,,0,0,0,,0,0,,0,0,
8fd0ebed-6471-4f05-9428-695bd36dfaef,,,,,,,"UCASE,LCASE,MID,LEN,ROUND,NOW,FORMAT",,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
f5343ccd-198c-4ae2-a018-a40c2d32906b,,,,,,,dates and times,,,,,,0,0,0,,0,0,,0,0,
e6efa313-2d7a-485f-9ba6-6284ce84d3bb,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
2a2d4f6e-57b9-40e5-a867-323738113222,,,,,,,"transactions (begin, commit, rollback)",,,,,,0,0,0,,0,0,,0,0,
b6936dfd-0f7e-44bb-901d-5966d9c1613f,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
5d24e527-b93f-4442-84f1-1730b7e6e647,,,,,,sqlite,,,,,,,0,0,0,,0,0,,0,0,
a1708705-ef5d-4057-b01d-cdd1ac9df3db,,,,,,can install sqlite,,,,skill,core,,0,0,1,,0,1,,1,0,
a0f2d702-236b-4cb9-8f25-bb31e22ac191,,,,,,can create a sqlite database,,,,skill,core,,0,0,1,,0,1,,1,0,
95891a48-517e-44ff-bf70-775d570f5190,,,,,,can access a sqlite database through the console,,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
d84a08a3-8f43-4edc-b63e-d46adf95fead,,,,,,postgres,,,,,,,0,0,0,,0,0,,0,0,
1ac8d71d-9357-4a69-b8e3-ed2cabf442f4,,,,,,can install postgres on a computer,,,,skill,core,,0,0,1,,0,1,,1,0,
59e8c3a1-33fc-4fb2-8594-e1d7d8c6756a,,,,,,can create a postgres database,,,,skill,core,,0,0,1,,0,1,,1,0,
71c437ca-ff37-4f17-ab00-b1b43fe99a75,,,,,,can create postgres users,,,,skill,core,,0,0,1,,0,1,,1,0,
2f5e3e69-7b5a-4dbd-8862-8e101df59e6b,,,,,,can access the postgres console (psql) on a local database,,,,skill,core,,0,0,1,,0,1,,1,0,
fcdb4277-bdf9-454f-90e6-550c4ca9f959,,,,,,can access the postgres console (psql) on a remote database,,,,skill,core,,0,0,1,,0,1,,1,0,
ee91ad53-e241-4d99-afd8-e07b8a9ec6ce,,,,,,can set permissions on users and databases,,,,skill,extra,,0,0,0,,0,0,,0,0,
3dde27a7-cc92-4de5-95a9-9c28cd4fcefe,,,,,,can set indexes,,,,skill,extra,,0,0,0,,0,0,,0,0,
1fd190c7-2c6f-4a80-86c2-0f0e0e6f39b8,,,,,,can start console,,,,skill,core,,0,0,1,,0,1,,1,0,
c0a9ecb4-a0ba-42be-9922-3692738de80e,,,,,,can perform CRUD operations through the postgres console,,,,skill,core,,0,0,1,,0,1,,1,0,
fb1fd9a5-a248-4c10-83d6-df4e760faa94,,,,,,can make use of EXPLAIN to optimize SQL queries,,,,skill,extra,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
b1c64844-4913-4046-b85a-cf641f8c3939,S,,,,document stores,,,,,,,,0,0,0,,0,0,,0,0,
8654f43e-e587-49a5-808e-3f5ddbff0cfb,,,,,can explain what a document store is and why it is used,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
c698c068-4ce2-4b50-95a1-8ccd591c3048,,,,,"can list various document store databases, differences (mongodb, couchdb, rethinkdb)",,,,,knowledge,core,,1,1,0,,1,0,,0,1,
b7f618f0-ac75-42b8-acdf-54ff9d11814e,,,,,TODO,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
e7df7cff-5624-4d65-9e5a-ce64f4dc6a37,,,,,,mongodb,,,,,,,0,0,0,,0,0,,0,0,
e689ea36-b046-40f0-aa9a-51c0593b0b11,,,,,,can install mongodb on a system,,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
eb7b26c8-b24a-495f-b651-85dbb1d8537e,,,,,,,mongo shell,,,,,,0,0,0,,0,0,,0,0,
f8ac4d2d-ae5c-4da3-a98c-1718b8f0acd8,,,,,,,can create a database via the mongo shell,,,skill,core,,0,0,1,,0,1,,1,0,
1aba9d3e-f004-4e01-891e-492b23d6dcc1,,,,,,,can create a collection via the mongo shell,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
8a6109e0-76fe-430e-aa78-1ada8df4dad4,,,,,,,,find,,,,,0,0,0,,0,0,,0,0,
880c0e06-3e4b-4759-ad7b-2a5ced36e346,,,,,,,,can query for certain documents (find),,skill,core,,0,0,1,,0,1,,1,0,
9211145f-0a96-455c-9191-73a9e5fd98ad,,,,,,,,multiple criteria,,skill,core,,0,0,1,,0,1,,1,0,
bce701a6-d39a-470f-a86d-f9a573ed1c92,,,,,,,,only certain fields (projection),,skill,core,,0,0,1,,0,1,,1,0,
095b0f1f-419d-4a55-a051-1e772df24dc4,,,,,,,,limit,,skill,core,,0,0,1,,0,1,,1,0,
3c1fd582-80ad-4736-9522-4b3cf24db0d8,,,,,,,,skip,,skill,core,,0,0,1,,0,1,,1,0,
ceec8d58-9afd-4e99-8c11-524e41b37932,,,,,,,,count,,skill,core,,0,0,1,,0,1,,1,0,
f5342b3e-c544-49d9-8bd5-4d8cfb735473,,,,,,,,findOne,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
7fe94252-06af-4edc-84be-81885a87bee1,,,,,,,,insert,,,,,0,0,0,,0,0,,0,0,
249e42fa-d07c-4b31-882a-edd81e5f32d6,,,,,,,,can create and insert a document,,skill,core,,0,0,1,,0,1,,1,0,
ee82c383-8c3e-4171-bff1-a89050ad624c,,,,,,,,can insert multiple documents simultaneously,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
e67af1a9-e6de-4b3a-b72b-ca58e0903b19,,,,,,,,update,,,,,0,0,0,,0,0,,0,0,
16e7e163-7d4a-418d-94ad-fbfbab0353e2,,,,,,,,can update a given document,,skill,core,,0,0,1,,0,1,,1,0,
5485d9cc-76e8-4a18-be8a-15702f2d226b,,,,,,,,can upsert a given document,,skill,core,,0,0,1,,0,1,,1,0,
a97ed347-51dd-43a1-bb19-0498b2f675ee,,,,,,,,can update a single document matching a query,,skill,core,,0,0,1,,0,1,,1,0,
9283d2ca-b564-48e3-b6ba-6719afb4de1e,,,,,,,,can update multiple documents matching a query,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
967cf069-a2e5-4510-8576-6ac0dbf0d767,,,,,,,,remove,,,,,0,0,0,,0,0,,0,0,
b8b28e99-a5ce-4004-8ed3-ef4084aa8902,,,,,,,,can remove a given document,,skill,core,,0,0,1,,0,1,,1,0,
004ef21c-944b-4da5-a2ae-3133f5780b2c,,,,,,,,can remove multiple documents matching a query,,skill,core,,0,0,1,,0,1,,1,0,
03d0eaa9-d845-4e59-b240-7b2d289dce92,,,,,,,,can remove a single document matching a query,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
3c33e33f-1253-4209-9bc7-170e4e3aedff,S,,,,kv stores,,,,,,,,0,0,0,,0,0,,0,0,
1d6dd254-ebb4-4777-9390-9842c753f8c7,,,,,can explain kv-store databases and why they are used,,,,,knowledge,ideal,,1,0,0,,0,0,,0,0,
aa78dd30-9df9-47cb-b108-313c1546f226,,,,,"knows various kv store databases, differences (redis, memcached, riak)",,,,,knowledge,ideal,,1,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
5ac75e90-7ec9-4ce3-89df-5f854f318c14,,,,,,redis,,,,,,,0,0,0,,0,0,,0,0,
ff063f0c-ee8b-4667-9171-c4ab923e8216,,,,,,TODO,,,,,extra,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
a3d235ac-3ca3-4126-b650-8f72493e6c08,S,,,,ORM / ODMs,,,,,,,,0,0,0,,0,0,,0,0,
0712c891-5568-461f-88b1-08e8de5cf674,,,,,can explain ORM,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
b080399c-1194-4a4e-896f-2055826fa334,,,,,"can explain why ORM tools are used, tradeoffs ",,,,,knowledge,core,,1,1,0,,1,0,,0,1,
1c2e8e7b-f55d-456b-9916-b78df5ba5a0d,,,,,can explain object-relational impedance mismatch,,,,,knowledge,ideal,,1,0,0,,0,0,,0,0,
a3d07abc-0cf0-4c1c-8fd3-271a0b9a10f3,,,,,proficient in the use of ORM tools,,,,,skill,core,,0,0,1,,0,1,,1,0,
631c76ab-5ab4-48f9-84d3-4671ee13e1f0,,,,,create validations,,,,,skill,core,,0,0,1,,0,1,,1,0,
e7ac6caa-95af-40e7-b637-9be2967e38ae,,,,,"activerecord pattern, datamapper pattern, database access object pattern",,,,,knowledge,core,,1,1,0,,1,0,,0,1,
6b7cd914-b3ee-4bcb-808e-b606c534bc1d,,,,,TODO,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
fbe85c9a-90af-4c14-875d-279fd53642b4,S,,,,migrations,,,,,,,,0,0,0,,0,0,,0,0,
586bb936-0b40-412c-bf43-39abc0a6b7cc,,,,,can explain migrations and why they are used,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
992a7365-01e7-4f25-8754-af9e1fc4e304,,,,,can explain when it is permittable to change a past migration vs. having to create a new one,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
98b31877-2861-4ecf-988a-4aba0cc419c7,,,,,can create migrations,,,,,skill,core,,0,0,1,,0,1,,1,0,
a6d9a33e-6df0-4efe-84f5-5c0ec7126f9a,,,,,uses migrations in projects,,,,,habit,core,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
58411191-b3d0-4ec7-ba3f-47fbbf44b484,C,,SOFTWARE CRAFTSMANSHIP (QUALITY OF ARTEFACTS),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
b2c8b8be-10ee-475e-b0d7-84bbe82fca46,,,,program decomposition,,,,,,,,,0,0,0,,0,0,,0,0,
285363d2-4fe0-40db-9f8e-075caec31ff2,,,,able to come up with reusable functions/objects,,,,,,skill,core,,0,0,1,,0,1,,1,0,
b5b90340-d1dd-467f-8429-04f0ec08d0a5,,,,uses appropriate data structures and algorithms,,,,,,habit,core,,0,0,0,,0,1,,1,0,
f1988242-7cfe-4a8d-b62a-f7dd00c96369,,,,able to visualize and design complex systems across multiple technologies/platforms,,,,,,skill,ideal,,0,0,0,,0,1,,1,0,
b14f0d04-e43f-4a74-85ab-c2529db81031,,,,TODO,,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
ee1b56ef-9df5-4e31-9133-8c55ceae1663,,,,clean code principles,,,,,,,,,0,0,0,,0,0,,0,0,
fa2da8f8-8704-413c-8adb-cfc196bbe028,,,,"simplificity, elegance, modularity, strong cohesion, low coupling, extensibility, DRY, portability",,,,,,,,,0,0,0,,0,0,,0,0,
de45e328-ad69-4b11-b225-a560e8507238,,,,TODO,,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
35a4e087-909c-4275-a417-686e30e2a5f0,,,,,DRY,,,,,,,,0,0,0,,0,0,,0,0,
8bb4cec8-3128-41db-a4e1-e582c9670e9a,,,,,"can explain what is DRY, why useful",,,,,knowledge,core,,1,1,0,,1,0,,0,1,
e1f6abd5-76ce-494b-bdea-75cbae641d0f,,,,,can write code DRY,,,,,skill,core,,0,0,1,,0,1,,1,0,
fade5d0c-2d20-4c39-9d29-f165e27964e7,,,,,can identify non-DRY code,,,,,skill,core,,0,0,1,,0,1,,1,0,
768abc57-d7f7-40da-9a99-fd2203451fa4,,,,,codes DRY,,,,,habit,core,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
0bbbd307-af0e-41b2-8115-6fd8d58ec51b,,,,layout and presentation of source code,,,,,,,,,0,0,0,,0,0,,0,0,
d0767fd9-06f6-4b1c-b83e-20f2b27c64d7,,,,can explain what is meant by code style,,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
69f960b6-5329-42b8-91c2-3160ae1d08bc,,,,"can identify typical elements of code style (variable naming, indentation, tabs/spaces, brace style)",,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
e8430025-4c0e-47ca-98bb-ababce7f4881,,,,can explain why code style is important,,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
94d0e955-7494-4a51-b813-9dbb4f85283f,,,,can identify code that does not follow a given code style,,,,,,skill,core,,0,0,1,,0,1,,1,0,
ef743969-d61a-49ed-bb10-626b7bb16dc2,,,,can write code that follows a given code style,,,,,,skill,core,,0,0,1,,0,1,,1,0,
1514afe4-b6a8-4109-9eaa-413e4247b34d,,,,follows a conventional code style consistently,,,,,,habit,core,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
35af1ce5-f381-4f49-bba9-36e05f609d0a,,,,naming,,,,,,,,,0,0,0,,0,0,,0,0,
d0d6c6fc-a3b6-4595-921c-cb870114830d,,,,can explain what is meant by naming,,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
6523cb04-49a0-4de2-a9d3-928e2b076df4,,,,can explain why naming is important,,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
180da493-5314-4af3-ab57-19dc85fa4f48,,,,"uses descriptive names (vs. ambigous, vague, ex. data)",,,,,,habit,core,,0,0,0,,0,1,,1,0,
d5b7fc07-4272-4860-98e9-b23993291dd4,,,,uses accurate names (ex. person_array that is actually a map),,,,,,habit,core,,0,0,0,,0,1,,1,0,
1c9f4cc9-ac36-4ca4-bd96-94e00d82844d,,,,"uses appropriate tone in names (ie. no jokes, profanity, cute)",,,,,,habit,core,,0,0,0,,0,1,,1,0,
f895ca05-b65c-4aee-b5a3-6881bab1d3ac,,,,uses short names only when appropriate (ex. x as iterator in loop),,,,,,habit,core,,0,0,0,,0,1,,1,0,
6e145163-6991-4e09-9b3c-99bacffdbb0c,,,,uses full names (ex. apple_count vs. apl_count),,,,,,habit,core,,0,0,0,,0,1,,1,0,
72d70d72-8736-44b9-9681-cb9f9ff0087a,,,,"uses acronyms when appropriate (ex. CSV, XML)",,,,,,habit,core,,0,0,0,,0,1,,1,0,
9bcd16f1-5c34-4d14-9bd7-440a2ed19152,,,,can identify naming conventions and idioms of ecosystem,,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
b5573e1e-fb9b-4001-ab96-34e7dfeeefb1,,,,"follows naming conventions and idioms of ecosystem (ex. hungarian notation, boolean?, desctructive!, _partials)",,,,,,habit,core,,0,0,0,,0,1,,1,0,
f9d4c05b-7e1a-4b63-a3f6-1b9e40bdc3f1,,,,"follows multi-word naming conventions of ecosystem (CamelCase, hyphen-seperated)",,,,,,habit,core,,0,0,0,,0,1,,1,0,
5783a56f-923a-4b4f-8b5c-cef64bbc9272,,,,follows file naming conventions of ecosystem ,,,,,,habit,core,,0,0,0,,0,1,,1,0,
55adec81-1679-4389-abf1-c39b193488b9,,,,uses nouns for variable names ,,,,,,habit,core,,0,0,0,,0,1,,1,0,
7028e5c7-d324-4c97-9183-b87298bfa26e,,,,uses verbs for function names,,,,,,habit,core,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
32437c70-5daf-49b9-8130-732ab16eac53,,,,comments,,,,,,,,,0,0,0,,0,0,,0,0,
49f9d182-d50d-42f3-ba53-6bfe3fe67e8d,,,,does not write comments for trivial code,,,,,,habit,core,,0,0,0,,0,1,,1,0,
7a1b0f33-77d1-48a9-901f-3721e1bb5e6c,,,,does not write comments that duplicate code,,,,,,habit,core,,0,0,0,,0,1,,1,0,
6d9d91ff-6b3a-4f2a-9865-c96a7c3ac141,,,,writes comments that explain 'why' (not 'how'),,,,,,habit,core,,0,0,0,,0,1,,1,0,
1dde769d-4920-4f17-aa4f-24cbb3e465f2,,,,indents comments appropriately,,,,,,habit,core,,0,0,0,,0,1,,1,0,
a3380359-c908-4fe9-b199-97ce1b742592,,,,"can explain idea of ""self-documenting code""",,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
f8677983-fb8d-425a-87a1-9b44a5283252,,,,"can explain ""comment rot""",,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
1a866301-f878-4ccb-9b59-a1e3f48a2b19,,,,code organization,,,,,,,,,0,0,0,,0,0,,0,0,
037a05d8-54a0-498c-916b-9fdd0a7b6c1c,,,,able to split up a program between files,,,,,,habit,,,0,0,0,,0,1,,1,0,
f27743e1-2adb-486f-aae0-b89ffeac8fbc,,,,methods grouped logically or by accessibility,,,,,,habit,,,0,0,0,,0,1,,1,0,
e619c6bf-6246-4a99-862e-4dd90a793e80,,,,groups related things together,,,,,,habit,,,0,0,0,,0,1,,1,0,
51ae283d-f37b-4b3c-98d4-9b312bf1bcc6,,,,project directory structured provides insight into the architecture,,,,,,habit,,,0,0,0,,0,1,,1,0,
a1bf2eef-898d-419b-afe6-f913c92287d1,,,,each file has a unique purpose,,,,,,habit,,,0,0,0,,0,1,,1,0,
1f2cf2fd-f812-4655-a530-f9a9d56da215,,,,no circular dependencies,,,,,,habit,,,0,0,0,,0,1,,1,0,
51cf8b5b-e743-49ff-86e3-229adbe614f1,,,,third party code seperate,,,,,,habit,,,0,0,0,,0,1,,1,0,
01baf88b-b027-4b42-b1d9-279442cd343d,,,,consistent file organization,,,,,,habit,,,0,0,0,,0,1,,1,0,
14fb3d72-cece-4d97-8563-a82d000fc2da,,,,avoids deep nesting,,,,,,habit,,,0,0,0,,0,1,,1,0,
1df70c76-3aa2-4255-b9ad-f514e1ddfb40,,,,avoids long functions,,,,,,habit,,,0,0,0,,0,1,,1,0,
d8526abb-d8bc-4435-bbaa-6e299f52244d,,,,uses namespaces,,,,,,habit,,,0,0,0,,0,1,,1,0,
c7681914-835a-42bb-8c97-5a9b7122240c,,,,follows project structure convention for ecosystem,,,,,,habit,,,0,0,0,,0,1,,1,0,
1255cec8-e653-47e4-ac0c-63cfee6340fc,,,,avoids deeply nested conditional structures,,,,,,habit,,,0,0,0,,0,1,,1,0,
b68a6856-80a9-4a35-ae9a-0f6418621451,,,,TODO,,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
e6e4f17c-23ba-41be-b444-713e887c558a,,,,,callback hell,,,,,,,,0,0,0,,0,0,,0,0,
4891eede-1031-43d0-b3d4-f528754a928c,,,,,can explain what is meant by 'callback hell',,,,,knowledge,core,,1,1,0,,1,0,,0,1,
a21cbb15-197a-4f6b-aaed-afa8e422918e,,,,,"can list and explain strategies to avoid 'callback hell' (using named functions / procedures / methods, promises, generators)",,,,,knowledge,core,,1,1,0,,1,0,,0,1,
9110be6c-b40b-4621-9713-2ebaa63c0895,,,,,can refactor an example with 'callback hell',,,,,skill,core,,0,0,1,,0,1,,1,0,
c7f8df5f-6922-48dd-97dc-e06f5563c26c,,,,,avoids callback hell in their code,,,,,habit,ideal,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
01827f5d-00ca-4fef-b47f-3bf9feaecdb0,,,,errors and error handling,,,,,,,,,0,0,0,,0,0,,0,0,
438c5fab-6e4f-447c-ba8f-842524140091,,,,identifies and handles common error conditions in code,,,,,,habit,core,,0,0,0,,0,1,,1,0,
42a92a4c-d06f-4d9c-b3ef-1cbfab6da745,,,,TODO,,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,habits,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,premature optimization,,,,,,,,,,,,,,,,,
f46934a5-0b12-4403-b4a4-80627b8eee06,,,,,"can explain what is meant by ""premature optmization""",,,,,knowledge,core,,,,,,,,,,,
4030d5e1-843f-48a7-b71f-2fb3ca059c22,,,,,does not optimize code prematurely,,,,,habit,core,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,premature generalization,,,,,,,,,,,,,,,,,
84fdfd63-d483-4bf0-b48d-8b11c02cc92f,,,,,"can explain what is meant by ""premature generalization""",,,,,knowledge,core,,,,,,,,,,,
db96bec7-267e-4030-9418-188be7b38ac1,,,,,does not generalize code prematurely,,,,,habit,core,,,,,,,,,,,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
a8cb7cbb-2deb-48e9-bdd1-d69fa21a551d,C,,SOFTWARE ENGINEERING (TOOLING + PROCESSES),,,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
377dc026-88a7-48c5-8f61-069cee03bb28,S,,,unix,,,,,,,,,0,0,0,,0,0,,0,0,
c5048e51-388f-49e7-b5d9-b27165fc6b39,,,,can explain the Unix Philosophy and its impact on the design of unix systems,,,,,,knowledge,ideal,,1,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
94a5e6e3-fb7e-40df-8cef-270ec0f59ec3,,,,,POSIX,,,,,,,,0,0,0,,0,0,,0,0,
50c3641b-773c-495e-bfc2-04656064a19a,,,,,can explain what is POSIX,,,,,knowledge,extra,,0,0,0,,0,0,,0,0,
12be1faf-4be3-4007-a1b6-2458ec1eb279,,,,,can identify popular OSes that are POSIX-compliant,,,,,knowledge,extra,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
e0fe8237-840f-49aa-b3c4-f532b102e4ed,,,,,environment variables,,,,,,,,0,0,0,,0,0,,0,0,
ff84d0a3-2cb0-45f2-884f-72c082270c3c,,,,,can explain environment variables and why they are used,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
88bb7c8d-a361-4efc-967f-94276cdb3dcd,,,,,can set environment variables,,,,,skill,core,,0,0,1,,0,1,,1,0,
a606eb2e-10ad-44d3-ac4a-d209966ee6ba,,,,,can echo environment variables,,,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
4000befa-e3f6-4ee5-b243-cf7e433d67b1,,,,,shell,,,,,,,,0,0,0,,0,0,,0,0,
c5391c35-7f2a-492e-96f7-7a2bec7d4ce9,,,,,"can explain what is meant by ""command line interface""",,,,,knowledge,core,,,,,,,,,,,
39d32ab7-ee81-457a-9625-f27d7b66e085,,,,,can explain benefits/tradeoffs of CLI vs GUI,,,,,knowledge,ideal,,,,,,,,,,,
862d9599-0438-47f0-a7a8-e1da9672b5cc,,,,,"can explain what is meant by ""shell""",,,,,knowledge,core,,,,,,,,,,,
